	1000_908	1000	1293_1000	1293_1591	1591	908_1591	908	Phase	X	Y
174	1.19799	1.30871	0.93358	0.832533	1.46755	0.760458	1.09767	3	0.53235924	10.9412
175	1.31861	0.952076	0.652058	1.05422	0.588878	1.26126	0.721288	1	1.5367436	10.9412
176	1.2845	0.812933	0.817008	1.14344	0.580855	1.08308	0.635703	1	2.5411282	10.9412
177	1.16878	1.07807	0.730153	1.39973	0.562362	1.61304	0.920234	1	3.5455124	10.9412
178	1.11981	0.686272	0.985491	1.65972	0.407488	1.49064	0.613805	1	4.5498972	10.9412
179	1.22528	0.62659	0.492831	1.01206	0.305122	1.68823	0.511101	2	5.5542812	10.9412
180	1.41591	0.646731	0.652119	1.09801	0.3841	1.16465	0.458079	1	6.5586658	10.9412
181	1.69517	0.563156	0.728928	1.36278	0.301223	1.17238	0.340093	2	7.5630503	10.9412
182	1.46249	0.59935	0.593215	1.61395	0.220293	1.8559	0.409767	2	8.5674343	10.9412
183	1.39937	1.15054	0.755681	1.12912	0.770014	1.04378	0.807828	3	9.5718193	10.9412
184	1.20583	1.72427	0.817138	1.01352	1.39018	1.01931	1.41219	3	10.576203	10.9412
185	1.38824	1.38173	0.825158	1.13421	1.00523	1.00064	0.995212	3	11.580588	10.9412
186	1.31758	0.650099	0.773614	1.42905	0.351929	1.37718	0.485617	2	12.584972	10.9412
187	1.24976	0.662398	0.790538	0.994635	0.526476	1.00654	0.536496	1	13.589356	10.9412
188	1.43153	0.655934	0.627752	1.16259	0.354179	1.3189	0.469704	1	14.593741	10.9412
189	1.26799	0.65185	0.588057	1.00539	0.381269	1.38557	0.520775	1	15.598125	10.9412
190	1.44565	0.692761	0.651476	0.961704	0.469289	1.02201	0.478024	1	16.60251	10.9412
191	1.3589	0.643719	0.868654	1.34253	0.416505	1.14564	0.475954	1	17.606895	10.9412
192	1.39267	0.569697	0.656767	0.998063	0.374885	1.0975	0.409109	1	18.611279	10.9412
193	1.40742	0.631155	0.314046	0.574827	0.34482	1.30326	0.455592	1	-19.55533	9.91393
194	1.15086	0.666508	0.483201	1.14176	0.28207	2.04039	0.5761	2	-18.550945	9.91393
195	1.69874	0.707386	0.519815	1.0546	0.348674	1.17133	0.417166	1	-17.54656	9.91393
196	1.38643	0.522341	0.668402	0.960154	0.363623	1.04101	0.372366	1	-16.542175	9.91393
197	1.41799	0.553443	0.581949	0.962785	0.334525	1.16538	0.391952	1	-15.537791	9.91393
198	1.61104	0.690736	0.603521	1.25279	0.332755	1.25231	0.431753	2	-14.533407	9.91393
199	1.5034	0.551953	0.389225	0.808618	0.26568	1.43264	0.372207	2	-13.529023	9.91393
200	1.37394	0.505642	0.496283	1.26362	0.19859	1.80297	0.363686	2	-12.524638	9.91393
201	1.31667	1.07496	0.549391	0.89366	0.660848	1.21978	0.807729	1	-11.520254	9.91393
202	1.74204	2.06503	0.90538	0.766299	2.43982	0.497858	1.18642	4	-10.515869	9.91393
203	1.57198	2.6267	1.0483	0.857862	3.20981	0.528552	1.64989	4	-9.5114851	9.91393
204	1.73251	1.91305	1.01139	0.878118	2.20341	0.508216	1.09236	4	-8.5071011	9.91393
205	1.49202	1.69081	0.881212	0.88561	1.68241	0.692332	1.13305	3	-7.5027161	9.91393
206	1.37613	1.649	0.871722	0.94127	1.52716	0.798928	1.20188	3	-6.498332	9.91393
207	1.08266	1.19642	0.793435	0.840617	1.12927	1.00211	1.10955	3	-5.4939475	9.91393
208	1.1682	1.86589	0.727853	0.828964	1.6383	0.999021	1.60055	3	-4.489563	9.91393
209	1.22732	2.43529	0.866029	0.826655	2.55128	0.785918	1.97361	4	-2.480794	9.91393
210	1.4514	2.27894	0.805888	0.999999	1.83657	0.872126	1.56391	3	-1.4764097	9.91393
211	1.52962	2.5519	0.840752	0.726848	2.95181	0.568092	1.65316	4	-0.47202519	9.91393
212	1.52651	2.30633	0.687877	0.833214	1.90404	0.815505	1.50244	3	0.53235924	9.91393
213	1.88579	1.72321	0.86553	0.914014	1.63181	0.57655	0.91324	3	1.5367436	9.91393
214	1.40067	1.18785	0.917842	1.07517	1.01403	0.834822	0.835732	3	2.5411282	9.91393
215	1.3535	0.926318	0.724619	0.927365	0.723801	0.976105	0.697784	3	3.5455124	9.91393
216	1.14352	0.577706	0.678033	1.20502	0.325059	1.53138	0.494109	2	4.5498972	9.91393
217	1.31385	0.71042	0.80834	1.02861	0.55829	0.973931	0.541357	1	5.5542812	9.91393
218	1.46372	0.656472	0.446747	1.15031	0.254955	1.78075	0.451903	2	6.5586658	9.91393
219	1.03847	0.974698	0.879683	1.21976	0.702946	1.35307	0.935781	3	7.5630503	9.91393
220	1.4021	1.58359	0.665767	0.879384	1.19891	0.942902	1.11787	3	8.5674343	9.91393
221	1.7543	2.21526	0.863862	0.950695	2.01293	0.639936	1.2469	3	9.5718193	9.91393
222	1.39262	2.47514	0.830894	1.05528	1.94885	0.902747	1.74462	3	10.576203	9.91393
223	1.71094	1.98652	0.69691	0.829629	1.66873	0.699082	1.13655	3	11.580588	9.91393
224	1.76764	1.46277	0.724788	0.943199	1.12404	0.733143	0.818616	3	12.584972	9.91393
225	1.60529	0.940921	0.823569	0.929331	0.833841	0.691541	0.576932	3	13.589356	9.91393
226	1.37985	0.62604	0.594185	0.923639	0.402737	1.11862	0.452715	1	14.593741	9.91393
227	1.13594	0.647208	0.609574	0.838711	0.47039	1.21359	0.5667	1	15.598125	9.91393
228	1.44697	0.579835	0.539717	0.911424	0.343361	1.19409	0.407797	1	16.60251	9.91393
229	1.17419	0.690026	0.303822	0.657511	0.318847	1.91027	0.597386	2	17.606895	9.91393
230	1.31089	1.03416	0.75815	1.23696	0.633852	1.21224	0.785279	1	18.611279	9.91393
231	1.87808	0.576831	0.471049	1.28953	0.210709	1.46728	0.31653	2	-19.55533	8.8867
232	1.17832	0.658285	0.692688	0.94797	0.481014	1.1716	0.557001	1	-18.550945	8.8867
233	1.32564	0.682783	0.562853	0.833596	0.461023	1.15275	0.519303	1	-17.54656	8.8867
234	1.16644	0.563083	0.736896	1.043	0.397827	1.21467	0.488837	1	-16.542175	8.8867
235	1.43738	0.529859	0.574384	1.13232	0.268778	1.32637	0.369504	2	-15.537791	8.8867
236	1.22635	0.649931	0.710433	0.87678	0.526623	1.00314	0.529522	1	-14.533407	8.8867
237	1.39909	0.57419	0.475463	0.805017	0.339131	1.23963	0.420306	1	-13.529023	8.8867
238	1.42174	0.656071	0.700337	1.26459	0.363335	1.2936	0.458086	1	-12.524638	8.8867
239	2.14939	1.09085	0.842564	0.699521	1.31391	0.398154	0.504525	3	-11.520254	8.8867
240	1.93858	2.78686	0.986909	0.727172	3.7823	0.388933	1.42349	4	-10.515869	8.8867
241	1.87312	2.84136	0.864563	0.702231	3.49818	0.444723	1.51665	4	-9.5114851	8.8867
242	2.29564	2.36545	0.953647	0.808179	2.79122	0.381276	1.02922	4	-8.5071011	8.8867
243	1.9147	2.76066	0.912933	0.814654	3.0937	0.483687	1.45026	4	-7.5027161	8.8867
244	1.20475	2.548	0.802832	0.716207	2.85618	0.748924	2.10624	4	-5.4939475	8.8867
245	1.81552	2.57037	0.940769	0.87717	2.75673	0.516567	1.3921	4	-2.480794	8.8867
