	HC	wG	D5G	D1G	D4D5G	DG	Phase	X	Y
4004	0.229111259	36.08	0.32480877	1.760092153	0.395895189	2.186136448	6	5.0508676	-32.5405
4005	0.266557617	35.5083	0.367245712	1.769042734	0.426044295	2.169817959	6	6.3076892	-32.5405
4006	0.248369364	35.9675	0.346633458	1.788495227	0.400775226	2.318996635	6	7.5645113	-32.5405
4007	0.349984553	36.1931	0.461791198	1.50192849	0.530501407	2.123596031	6	8.8213329	-32.5405
4008	0.415239314	34.9584	0.53574265	1.472277375	0.621667541	2.18923912	6	10.078155	-32.5405
4009	0.502732051	35.8942	0.634895797	1.250528428	0.716961745	1.69826021	6	11.334977	-32.5405
4010	0.274311217	35.0109	0.376032658	1.854781509	0.447731782	2.437399324	6	12.591799	-32.5405
4011	0.381766598	36.0653	0.497808928	1.533845164	0.582617816	2.118647343	6	13.84862	-32.5405
4012	0.382881634	35.6318	0.499072568	1.622390053	0.584802179	2.278909779	6	15.105442	-32.5405
4013	0.442613809	36.0856	0.566765423	1.454712067	0.656519726	1.899392652	6	16.362265	-32.5405
4014	0.274540752	35.7815	0.376292784	2.000488044	0.444680584	2.593259015	6	17.619085	-32.5405
4015	0.395971889	36.2641	0.513907399	1.481978117	0.592770971	2.081613761	6	18.875908	-32.5405
4016	0.400251449	35.6114	0.518757308	1.591195386	0.599635644	2.189618254	6	20.13273	-32.5405
4017	0.398311958	35.9741	0.516559336	1.664470204	0.598422868	2.175112397	6	21.389551	-32.5405
4018	0.331859744	36.1342	0.441250844	1.743554465	0.510642193	2.255431465	6	22.646374	-32.5405
4019	0.32752844	35.9677	0.436342293	1.677084272	0.511876999	2.396898901	6	23.903194	-32.5405
4020	0.50411918	36.247	0.636467793	1.393553731	0.719814629	1.887968496	6	25.160017	-32.5405
4021	0.308587762	35.945	0.414877337	1.740854096	0.494414765	2.154784959	6	26.41684	-32.5405
4022	0.238038465	35.9438	0.334925731	2.114808954	0.413930863	2.808802261	6	27.67366	-32.5405
4023	0.481267924	36.7276	0.610571084	1.536664866	0.693993307	2.122397452	6	28.930483	-32.5405
4024	0.383848064	35.7465	0.500167797	1.752923813	0.585732586	2.317995951	6	30.187304	-32.5405
4025	0.375527591	35.9769	0.490738431	1.608328829	0.565072138	2.140671773	6	31.444126	-32.5405
4026	0.342551788	35.7314	0.453367847	1.68378855	0.532342944	2.30236681	6	32.700947	-32.5405
